,id,name,city,lon,lat,planned_arrival_time,gtfs_line_ref,gtfs_line_start_time,gtfs_ride_id
145,15789712,נחל שורק/נחל לכיש,בית שמש,34.995407,31.714054,2023-07-31 21:29:54+00:00,10533,2023-07-31 21:00:00+00:00,49253722
146,15792212,ויצמן/ריינס,גבעתיים,34.808579,32.067865,2023-07-31 21:29:59+00:00,976,2023-07-31 21:00:00+00:00,49247757
147,15792276,בית הדר דפנה/שד' שאול המלך,תל אביב יפו,34.791101,32.077609,2023-07-31 21:29:59+00:00,2542,2023-07-31 21:10:00+00:00,49246646
148,15788619,קדושת לוי/שלום רב,ביתר עילית,35.120407,31.706367,2023-07-31 21:30:00+00:00,10533,2023-07-31 21:30:00+00:00,49256177
149,15811437,ת.רכבת תל אביב - סבידור/רציפים C,תל אביב יפו,34.795844,32.08255,2023-07-31 21:30:00+00:00,2328,2023-07-31 21:30:00+00:00,49282650
150,15804229,בן איש חי/יוסף קארו,בית שמש,34.999691,31.744808,2023-07-31 21:30:00+00:00,10534,2023-07-31 21:30:00+00:00,49256211
151,15789713,נחל שורק/נחל נחשון,בית שמש,34.994298,31.714694,2023-07-31 21:30:16+00:00,10533,2023-07-31 21:00:00+00:00,49253722
152,15792658,מגדל שלום/מונטיפיורי,תל אביב יפו,34.769228,32.064693,2023-07-31 21:30:36+00:00,2328,2023-07-31 21:15:00+00:00,49282649
153,15791019,צומת מטע,מטע,35.064418,31.713598,2023-07-31 21:30:39+00:00,10534,2023-07-31 21:00:00+00:00,49256207
154,15788620,קדושת לוי/הר''ן,ביתר עילית,35.118011,31.706087,2023-07-31 21:30:51+00:00,10533,2023-07-31 21:30:00+00:00,49256177
155,15792445,ת.רק''ל ארלוזורוב/דרך מנחם בגין,תל אביב יפו,34.795214,32.08005,2023-07-31 21:30:59+00:00,2328,2023-07-31 21:30:00+00:00,49282650
156,15791369,חפץ חיים/לוי אשכול,בית שמש,34.999691,31.747995,2023-07-31 21:30:59+00:00,10534,2023-07-31 21:30:00+00:00,49256211
157,15793326,מחלף גהה/דרך ז'בוטינסקי,בני ברק,34.844941,32.092314,2023-07-31 21:30:59+00:00,6821,2023-07-31 21:15:00+00:00,49274661
158,15788760,בית  כנסת באיאן/קדושת לוי,ביתר עילית,35.116001,31.705692,2023-07-31 21:30:59+00:00,10533,2023-07-31 21:30:00+00:00,49256177
159,15809437,ת.רק''ל מחרוזת/סהרון,תל אביב יפו,34.751208,32.034129,2023-07-31 21:30:59+00:00,2328,2023-07-31 21:00:00+00:00,49282077
160,15790998,נחל שורק/נחל מיכה,בית שמש,34.993487,31.716182,2023-07-31 21:31:01+00:00,10533,2023-07-31 21:00:00+00:00,49253722
161,15792186,ויצמן/צה''ל,גבעתיים,34.808682,32.07234,2023-07-31 21:31:18+00:00,976,2023-07-31 21:00:00+00:00,49247757
162,15791188,שדרות לוי אשכול/הגלעד,בית שמש,34.998841,31.747767,2023-07-31 21:31:29+00:00,10534,2023-07-31 21:30:00+00:00,49256211
